Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-07-08T06:30:00,0,0,0%,0
2026-07-08T07:30:00,0,0,0%,0
2026-07-08T08:30:00,0,0,0%,0
2026-07-08T09:30:00,0,0,0%,0
2026-07-08T10:30:00,0,0,0%,0
2026-07-08T11:30:00,0,0,0%,0
2026-07-08T12:30:00,0,0,0%,0
2026-07-08T13:30:00,0,0,0%,0
2026-07-08T14:30:00,0,0,0%,0
2026-07-08T15:30:00,0,0,0%,0
2026-07-08T16:30:00,0,0,0%,0
2026-07-08T17:30:00,0,0,0%,0
2026-07-08T18:30:00,0,1,0%,42
2026-07-08T19:30:00,0,0,0%,0
2026-07-08T20:30:00,0,1,0%,85
2026-07-08T21:30:00,0,0,0%,0
2026-07-08T22:30:00,0,0,0%,0
2026-07-08T23:30:00,0,0,0%,0
2026-07-09T00:30:00,0,0,0%,0
2026-07-09T01:30:00,0,0,0%,0
2026-07-09T02:30:00,0,0,0%,0
2026-07-09T03:30:00,0,0,0%,0
2026-07-09T04:30:00,0,0,0%,0
2026-07-09T05:30:00,0,0,0%,0